X,Y,OBJECTID,Shape_Leng,Shape_Area,zone,LocationID,borough
-73.88922183,40.7401456,83,0.105984933,0.000217464,Elmhurst/Maspeth,83,Queens
-74.17393733,40.5320172,84,0.233623987,0.002073756,Eltingville/Annadale/Prince's Bay,84,Staten Island
-73.95220884,40.64725497,85,0.057475147,0.000143638,Erasmus,85,Brooklyn
-73.75418673,40.60255393,86,0.134245283,0.000623279,Far Rockaway,86,Queens
-74.00781212,40.70665962,87,0.03690155,6.72E-05,Financial District North,87,Manhattan
-74.01130777,40.7033938,88,0.035204604,5.73E-05,Financial District South,88,Manhattan
-73.96269373,40.64098273,89,0.12279457,0.000447548,Flatbush/Ditmas Park,89,Brooklyn
-73.99677751,40.74254616,90,0.030759162,5.53E-05,Flatiron,90,Manhattan
-73.93254359,40.62738999,91,0.124996625,0.00053733,Flatlands,91,Brooklyn
-73.83044713,40.76412728,92,0.117830067,0.000374947,Flushing,92,Queens
-73.84189276,40.73923466,93,0.170998028,0.000594278,Flushing Meadows-Corona Park,93,Queens
-73.90059101,40.85826076,94,0.049832608,6.26E-05,Fordham South,94,Bronx
-73.84821994,40.72346527,95,0.113629605,0.00057277,Forest Hills,95,Queens
-73.87601222,40.69576099,96,0.185180248,0.000547566,Forest Park/Highland Park,96,Queens
-73.97557658,40.69061566,97,0.062476015,0.000163304,Fort Greene,97,Brooklyn
-73.77955023,40.73384122,98,0.121661018,0.000485773,Fresh Meadows,98,Queens
-74.18770274,40.57961795,99,0.183371489,0.001210165,Freshkills Park,99,Staten Island
-73.98878589,40.75351409,100,0.024813109,3.75E-05,Garment District,100,Manhattan
-73.70907059,40.74372178,101,0.101709836,0.000452343,Glen Oaks,101,Queens
-73.88199873,40.70267936,102,0.136900485,0.000296595,Glendale,102,Queens
-74.04518141,40.68986057,103,0.014305517,6.33E-06,Governor's Island/Ellis Island/Liberty Island,103,Manhattan
-74.03913087,40.69867328,104,0.021220833,1.19E-05,Governor's Island/Ellis Island/Liberty Island,104,Manhattan
-74.01879437,40.68813782,105,0.07742534,0.000368636,Governor's Island/Ellis Island/Liberty Island,105,Manhattan
-73.99176358,40.67336117,106,0.049211012,0.000113617,Gowanus,106,Brooklyn
-73.98331035,40.73734838,107,0.038041365,7.46E-05,Gramercy,107,Manhattan
-73.98037615,40.58911034,108,0.111171412,0.000352866,Gravesend,108,Brooklyn
-74.15271469,40.54883072,109,0.17826782,0.001169601,Great Kills,109,Staten Island
-74.12584641,40.54326752,110,0.103946293,0.000525745,Great Kills Park,110,Staten Island
-73.9909889,40.6521158,111,0.05993088,0.000208683,Green-Wood Cemetery,111,Brooklyn
-73.9484722,40.72883035,112,0.107267876,0.000462069,Greenpoint,112,Brooklyn
-73.99462822,40.73248595,113,0.032745351,5.80E-05,Greenwich Village North,113,Manhattan
-73.99867795,40.72861173,114,0.031727035,4.70E-05,Greenwich Village South,114,Manhattan
-74.0924861,40.62012755,115,0.116169414,0.000373169,Grymes Hill/Clifton,115,Staten Island
-73.94736754,40.82753526,116,0.068116484,0.000260415,Hamilton Heights,116,Manhattan
-73.7760841,40.59605583,117,0.169885858,0.000904294,Hammels/Arverne,117,Queens
-74.13707013,40.58563106,118,0.243966218,0.001826939,Heartland Village/Todt Hill,118,Staten Island
-73.92696621,40.83673003,119,0.083507036,0.000185779,Highbridge,119,Bronx
-73.93080685,40.84600407,120,0.08326127,9.31E-05,Highbridge Park,120,Manhattan
-73.79968831,40.72734719,121,0.096915337,0.000384563,Hillcrest/Pomonok,121,Queens
-73.76156419,40.71106847,122,0.066531844,0.000226597,Hollis,122,Queens
-73.9651983,40.6002048,123,0.083421139,0.000296445,Homecrest,123,Brooklyn
-73.85000504,40.65956677,124,0.12772441,0.000754838,Howard Beach,124,Queens
-74.00717569,40.72537634,125,0.049732212,7.64E-05,Hudson Sq,125,Manhattan
-73.88497727,40.81391819,126,0.129948726,0.000703274,Hunts Point,126,Bronx
-73.92032547,40.86506268,127,0.060018886,0.000163196,Inwood,127,Manhattan
-73.92543209,40.87218761,128,0.070209029,0.000207406,Inwood Hill Park,128,Manhattan
-73.88740638,40.75905747,129,0.093272727,0.000473988,Jackson Heights,129,Queens
-73.80034752,40.70327388,130,0.142028321,0.000468323,Jamaica,130,Queens
-73.7713745,40.72041233,131,0.116547121,0.000423696,Jamaica Estates,131,Queens
-73.77826366,40.64260452,132,0.245478517,0.002038301,JFK Airport,132,Queens
-73.9743362,40.6393872,133,0.065134863,0.000157189,Kensington,133,Brooklyn
-73.8299927,40.70875018,134,0.069587822,0.000202375,Kew Gardens,134,Queens
-73.82398551,40.72940996,135,0.121793046,0.000467912,Kew Gardens Hills,135,Queens
-73.90571997,40.86480273,136,0.090628715,0.000148525,Kingsbridge Heights,136,Bronx
-73.97711937,40.74035924,137,0.046107624,0.000116455,Kips Bay,137,Manhattan
-73.87280371,40.77486739,138,0.107466934,0.000536797,LaGuardia Airport,138,Queens
-73.74332308,40.67774937,139,0.093299788,0.00044667,Laurelton,139,Queens
-73.95456804,40.76550682,140,0.047584291,0.000114204,Lenox Hill East,140,Manhattan
-73.95971268,40.76683882,141,0.041514464,7.67E-05,Lenox Hill West,141,Manhattan
-73.98135241,40.77390599,142,0.038175894,7.57E-05,Lincoln Square East,142,Manhattan
-73.98797297,40.77577021,143,0.054179854,0.000151094,Lincoln Square West,143,Manhattan
-73.99740668,40.72058145,144,0.027620167,4.75E-05,Little Italy/NoLiTa,144,Manhattan
-73.94869919,40.74658997,145,0.114313845,0.000346642,Long Island City/Hunters Point,145,Queens
-73.93363409,40.75452889,146,0.047140522,0.000104639,Long Island City/Queens Plaza,146,Queens
-73.89819293,40.81919853,147,0.058765495,0.000106418,Longwood,147,Bronx
-73.99071836,40.71921167,148,0.039130502,6.97E-05,Lower East Side,148,Manhattan
-73.94847421,40.60655799,149,0.083680582,0.00027064,Madison,149,Brooklyn
-73.94288426,40.58026232,150,0.089331491,0.000332568,Manhattan Beach,150,Brooklyn
-73.96780839,40.79786627,151,0.054889941,0.000128849,Manhattan Valley,151,Manhattan
-73.95432487,40.8175772,152,0.057909477,0.000146638,Manhattanville,152,Manhattan
-73.91106258,40.87560041,153,0.024737239,3.25E-05,Marble Hill,153,Manhattan
-73.89612331,40.59311867,154,0.227331571,0.001789687,Marine Park/Floyd Bennett Field,154,Brooklyn
-73.90676934,40.61778854,155,0.169808473,0.000868261,Marine Park/Mill Basin,155,Brooklyn
-74.1648593,40.62874838,156,0.14447689,0.001052122,Mariners Harbor,156,Staten Island
-73.90192569,40.72403936,157,0.131300218,0.00035437,Maspeth,157,Queens
-74.00838576,40.73524807,158,0.054809991,0.000185568,Meatpacking/West Village West,158,Manhattan
-73.91358299,40.81825946,159,0.064363233,0.000171249,Melrose South,159,Bronx
-73.88071225,40.71850382,160,0.141519143,0.000571235,Middle Village,160,Queens
-73.97743184,40.75822648,161,0.03580391,7.19E-05,Midtown Center,161,Manhattan
-73.97214549,40.75681616,162,0.035269815,4.79E-05,Midtown East,162,Manhattan
-73.97836699,40.76442545,163,0.034176867,4.09E-05,Midtown North,163,Manhattan
-73.98592881,40.74880767,164,0.035771612,5.56E-05,Midtown South,164,Manhattan
-73.95460295,40.6209587,165,0.088608036,0.000353959,Midwood,165,Brooklyn
-73.96181526,40.80957023,166,0.068823754,0.000255276,Morningside Heights,166,Manhattan
-73.90444259,40.82798804,167,0.090815974,0.000167529,Morrisania/Melrose,167,Bronx
-73.91705803,40.80743953,168,0.114517434,0.000547058,Mott Haven/Port Morris,168,Bronx
-73.90502146,40.84911482,169,0.060104658,0.000146028,Mount Hope,169,Bronx
-73.97694199,40.74765428,170,0.045769009,7.43E-05,Murray Hill,170,Manhattan
-73.80888072,40.76894367,171,0.107353876,0.0005201,Murray Hill-Queens,171,Queens
-74.1039265,40.57246542,172,0.118476116,0.000658403,New Dorp/Midland Beach,172,Staten Island
-73.8630837,40.75177924,173,0.060063966,0.00017833,North Corona,173,Queens
-73.87776056,40.87685259,174,0.067817756,0.000155929,Norwood,174,Bronx
-73.75735677,40.74327385,175,0.134897665,0.000504921,Oakland Gardens,175,Queens
-74.11961243,40.56206061,176,0.151995191,0.000657782,Oakwood,176,Staten Island
-73.91110579,40.67709861,177,0.071580541,0.000198895,Ocean Hill,177,Brooklyn
-73.97068878,40.61763318,178,0.068252877,0.000175805,Ocean Parkway South,178,Brooklyn
-73.92681236,40.77142534,179,0.071380864,0.000183893,Old Astoria,179,Queens
-73.84936435,40.67516385,180,0.080527767,0.000247682,Ozone Park,180,Queens
-73.9790449,40.67201914,181,0.08953724,0.00030689,Park Slope,181,Brooklyn
-73.85794162,40.83740436,182,0.039360637,9.11E-05,Parkchester,182,Bronx
-73.83185405,40.84956865,183,0.039826296,9.52E-05,Pelham Bay,183,Bronx
-73.80461084,40.86478542,184,0.260815683,0.001988834,Pelham Bay Park,184,Bronx
-73.85518043,40.85347166,185,0.086161968,0.000228537,Pelham Parkway,185,Bronx
-73.99245533,40.74847636,186,0.02469639,3.71E-05,Penn Station/Madison Sq West,186,Manhattan
-74.14115248,40.62545372,187,0.126868431,0.000421196,Port Richmond,187,Staten Island
-73.94520016,40.65756006,188,0.097798397,0.000313003,Prospect-Lefferts Gardens,188,Brooklyn
-73.96826963,40.67718249,189,0.048674331,0.000101428,Prospect Heights,189,Brooklyn
-73.97095007,40.66060757,190,0.074329466,0.000270874,Prospect Park,190,Brooklyn
-73.74112042,40.7142783,191,0.130932638,0.000688461,Queens Village,191,Queens
-73.81519254,40.744411,192,0.11196462,0.000373808,Queensboro Hill,192,Queens
-73.9402863,40.76172443,193,0.065529958,0.000145592,Queensbridge/Ravenswood,193,Queens
-73.92102903,40.79143296,194,0.081793835,0.000273482,Randalls Island,194,Manhattan
-74.00954931,40.67546168,195,0.131308244,0.000801652,Red Hook,195,Brooklyn
-73.86401021,40.72364786,196,0.083242111,0.000197471,Rego Park,196,Queens
-73.82904356,40.69300047,197,0.108568532,0.000504689,Richmond Hill,197,Queens
-73.90199375,40.70452153,198,0.134094243,0.00049981,Ridgewood,198,Queens
-73.8835364,40.79204594,199,0.077808501,0.000288748,Rikers Island,199,Bronx
-73.90646061,40.89985962,200,0.112661735,0.000744643,Riverdale/North Riverdale/Fieldston,200,Bronx
-73.84724648,40.57746872,201,0.130404118,0.000619351,Rockaway Park,201,Queens
-73.95041049,40.76116791,202,0.069921571,0.000106175,Roosevelt Island,202,Manhattan
-73.73671881,40.65950178,203,0.189937816,0.00061513,Rosedale,203,Queens
-74.20697295,40.54074269,204,0.101912418,0.000641384,Rossville/Woodrow,204,Staten Island
-73.76261566,40.69221897,205,0.141953388,0.000766217,Saint Albans,205,Queens
-74.12316376,40.6359594,206,0.212756793,0.000944393,Saint George/New Brighton,206,Staten Island
-73.89932502,40.76351135,207,0.028375683,4.47E-05,Saint Michaels Cemetery/Woodside,207,Queens
-73.82488634,40.82468614,208,0.21472101,0.002020326,Schuylerville/Edgewater Park,208,Bronx
-74.00235972,40.70848969,209,0.030695311,3.89E-05,Seaport,209,Manhattan
-73.94433605,40.59376161,210,0.114851983,0.000453155,Sheepshead Bay,210,Brooklyn
-74.00137473,40.72389907,211,0.025234508,3.97E-05,SoHo,211,Manhattan
-73.86990193,40.82827699,212,0.067129065,0.000161276,Soundview/Bruckner,212,Bronx
-73.86079104,40.81649076,213,0.159958784,0.000904078,Soundview/Castle Hill,213,Bronx
-74.08588545,40.58661907,214,0.135300314,0.000811977,South Beach/Dongan Hills,214,Staten Island
-73.79036754,40.6941903,215,0.103556454,0.000395647,South Jamaica,215,Queens
-73.82051327,40.67707123,216,0.116797555,0.000816077,South Ozone Park,216,Queens
-73.95684577,40.70324961,217,0.055390525,0.000114733,South Williamsburg,217,Brooklyn
-73.77211628,40.67362003,218,0.083700828,0.000281294,Springfield Gardens North,218,Queens
-73.76100796,40.6602285,219,0.15512667,0.000428176,Springfield Gardens South,219,Queens
-73.91187726,40.88190094,220,0.106015943,0.000313036,Spuyten Duyvil/Kingsbridge,220,Bronx
-74.08133476,40.62022398,221,0.166218221,0.000890112,Stapleton,221,Staten Island
-73.88213752,40.64687191,222,0.048389353,0.000130268,Starrett City,222,Brooklyn
-73.90667183,40.77819333,223,0.166021925,0.000764361,Steinway,223,Queens
-73.97784208,40.73172816,224,0.044020446,9.85E-05,Stuy Town/Peter Cooper Village,224,Manhattan
-73.93144485,40.68878507,225,0.088799207,0.000310835,Stuyvesant Heights,225,Brooklyn
-73.92932128,40.73527341,226,0.168957762,0.000761944,Sunnyside,226,Queens
-74.00679455,40.64159764,227,0.082830157,0.000268317,Sunset Park East,227,Brooklyn
-74.00996047,40.65361821,228,0.177685178,0.000993415,Sunset Park West,228,Brooklyn
-73.9651742,40.7565893,229,0.04252529,9.47E-05,Sutton Place/Turtle Bay North,229,Manhattan
-73.98417616,40.75984474,230,0.03102831,5.61E-05,Times Sq/Theatre District,230,Manhattan
-74.00671162,40.71869564,231,0.063420117,0.00016693,TriBeCa/Civic Center,231,Manhattan
-73.9823067,40.71538608,232,0.061470909,0.00021605,Two Bridges/Seward Park,232,Manhattan
-73.97125598,40.7491721,233,0.048035918,0.000116188,UN/Turtle Bay South,233,Manhattan
-73.99047762,40.74031346,234,0.036072199,7.31E-05,Union Sq,234,Manhattan
-73.91496833,40.85350293,235,0.076166843,0.000212845,University Heights/Morris Heights,235,Bronx
-73.95697239,40.78049148,236,0.044251922,0.000102864,Upper East Side North,236,Manhattan
-73.96569149,40.76854188,237,0.0422126,9.60E-05,Upper East Side South,237,Manhattan
-73.97281452,40.79176625,238,0.060109311,0.000184764,Upper West Side North,238,Manhattan
-73.97827334,40.78410736,239,0.063626115,0.000204715,Upper West Side South,239,Manhattan
-73.87906719,40.89474642,240,0.146069764,0.000722131,Van Cortlandt Park,240,Bronx
-73.89645014,40.87597585,241,0.068764578,0.000254677,Van Cortlandt Village,241,Bronx
-73.83987896,40.84959658,242,0.138136446,0.000360072,Van Nest/Morris Park,242,Bronx
-73.93282432,40.85867029,243,0.0943315,0.000438377,Washington Heights North,243,Manhattan
-73.94166681,40.84121867,244,0.080568604,0.000359703,Washington Heights South,244,Manhattan
-74.10317061,40.62847848,245,0.09598306,0.000466175,West Brighton,245,Staten Island
-74.00451257,40.75243725,246,0.069467194,0.000281298,West Chelsea/Hudson Yards,246,Manhattan
-73.92505918,40.82921147,247,0.092967858,0.000205617,West Concourse,247,Bronx
-73.87101045,40.8346772,248,0.056919117,0.000149593,West Farms/Bronx River,248,Bronx
-74.00249691,40.73461156,249,0.036384344,7.22E-05,West Village,249,Manhattan
-73.84947868,40.83249069,250,0.079626347,0.000240976,Westchester Village/Unionport,250,Bronx
-74.12323684,40.61960552,251,0.137711161,0.000625755,Westerleigh,251,Staten Island
-73.8153943,40.78836065,252,0.158004374,0.001025264,Whitestone,252,Queens
-73.84147455,40.76008634,253,0.0360515,7.83E-05,Willets Point,253,Queens
-73.85826965,40.88322333,254,0.085886375,0.00036004,Williamsbridge/Olinville,254,Bronx
-73.95713378,40.71883419,255,0.0623842,0.000172309,Williamsburg (North Side),255,Brooklyn
-73.95910788,40.71097713,256,0.067914967,0.000168611,Williamsburg (South Side),256,Brooklyn
-73.97723931,40.6536645,257,0.058669026,0.000138909,Windsor Terrace,257,Brooklyn
-73.85663905,40.69012637,258,0.089013379,0.00036621,Woodhaven,258,Queens
-73.85635112,40.89910277,259,0.126750305,0.000394552,Woodlawn/Wakefield,259,Bronx
-73.90371328,40.74679779,260,0.133514155,0.000422345,Woodside,260,Queens
-74.01291938,40.70897562,261,0.027120456,3.43E-05,World Trade Center,261,Manhattan
-73.94582982,40.77653423,262,0.049063623,0.00012233,Yorkville East,262,Manhattan
-73.95120799,40.77849587,263,0.037016625,6.58E-05,Yorkville West,263,Manhattan
